Kraj,Vydané obálky,Odevzdané obálky,Platné hlasy,,Obèanská demokratická strana,Øád národa - Vlastenecká unie,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,Èeská strana sociálnì demokratická,Volte Pravı Blok,Radostné Èesko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická strana Èech a Moravy,Strana zelenıch,ROZUMNÍ - stop migraci a diktátu EU,Spoleènost proti developerské vıstavbì v Prokopském údolí,Strana svobodnıch obèanù,Blok proti islamizaci - Obrana domova,Obèanská demokratická aliance,Èeská pirátská strana,OBÈANÉ 2011-SPRAVEDLNOST PRO LIDI,Unie H.A.V.E.L.,Èeská národní fronta,Referendum o EU	Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,Sdruení pro republiku,Køesanská a demokratická unie,Èeská strana národnì sociální,REALISTÉ,SPORTOVCI,Dìlnická strana sociální spravedlnosti,Svoboda a pøímá demokracie,Strana Práv Obèanù,Národ Sobì
Hlavní mìsto Praha,916940,614958,611450,0,99182,642,407,34079,491,221,30920,28158,14686,2600,438,12857,472,943,107590,177,93,0,423,77325,124445,358,539,29143,182,5851,1243,565,35547,1873,0
Støedoèeskı kraj,1047853,664304,660619,0,85415,1353,412,43853,0,456,53368,47695,9415,5081,0,10679,682,861,79815,0,343,0,546,41843,189371,365,1204,19925,219,4251,1152,1203,59497,1615,0
Jihoèeskı kraj,513882,317086,315319,0,38232,557,255,23035,0,439,14435,29414,4326,2435,0,5303,270,613,33143,0,0,0,267,16713,91012,204,556,16983,243,3327,636,762,31062,1097,0
Plzeòskı kraj,456299,273184,271510,0,32833,558,184,21643,0,395,13180,23502,3321,2395,0,4138,328,724,27201,182,0,0,224,13095,84114,0,603,9499,136,2009,1009,631,28686,920,0
Karlovarskı kraj,236250,123034,122142,0,10796,896,0,8530,0,0,6453,9960,1549,1231,0,1544,211,280,12264,0,0,0,153,4495,43268,0,343,2885,0,799,311,428,15233,513,0
Ústeckı kraj,652568,341587,339686,0,32197,631,234,22464,0,0,12299,33628,5013,2920,0,4595,466,811,28004,0,0,0,321,12336,127574,292,1275,6127,113,2048,476,1527,42777,1558,0
Libereckı kraj,350307,210228,208817,0,21468,327,196,11811,0,0,26780,13981,2907,1719,0,3152,192,405,23859,0,0,0,182,8825,62302,269,481,4297,135,1290,356,374,22878,631,0
Královéhradeckı kraj,444016,280671,278720,0,32242,531,297,18128,0,275,14184,19792,3650,2388,0,4310,284,322,29932,0,0,0,276,14308,88551,380,619,16294,0,2037,431,600,28038,851,0
Pardubickı kraj,412172,259713,258169,0,28313,509,355,19294,0,258,12855,20002,3261,2429,0,3998,186,385,27146,0,0,0,225,10864,79551,250,480,17599,0,1492,564,722,26202,1229,0
Kraj Vysoèina,412847,264229,262764,0,25989,324,137,24631,0,306,11251,24829,3204,2070,0,3565,235,261,26086,0,0,0,219,10163,75247,0,600,24295,89,1562,584,556,25237,1324,0
Jihomoravskı kraj,951420,586938,583442,0,69319,768,477,49248,0,383,21222,46966,9147,3781,0,10421,448,930,53207,0,0,0,532,26356,159909,522,1222,52346,173,3849,1471,859,67973,1613,300
Olomouckı kraj,515014,307605,305639,0,27266,426,282,22760,0,307,13580,26853,3588,1942,0,3963,436,448,25955,0,0,0,213,9903,95950,248,488,25257,117,1678,766,675,41397,1141,0
Zlínskı kraj,477700,296513,294679,0,28752,615,195,20454,0,220,17168,20669,3685,1747,0,4812,299,393,24859,0,0,0,245,8443,84750,184,477,33631,0,2138,537,417,38020,1969,0
Moravskoslezskı kraj,987233,551015,547789,0,40944,598,327,48417,0,592,14462,47651,6583,3790,0,5892,568,654,47332,0,0,117,450,14142,194069,650,970,35362,166,3664,1057,1083,76027,2222,0
